sound1,round1,high1,low1,front1,back1,tense1,sound2,P2i1,orP2i1,diffP2i1,round2,high2,low2,front2,back2,tense2,full1,full2
i,-,+,-,+,-,+,ʊ,0.11264367816091954,0.13226452905811625,-0.01962085089719668,+,+,-,-,+,-,rHlFbT,RHlfBt
i,-,+,-,+,-,+,ɔ,0.4206896551724138,0.4969939879759519,-0.0763043328035381,+,-,-,-,+,-,rHlFbT,RhlfBt
i,-,+,-,+,-,+,ɯ,0.0528735632183908,0.07014028056112225,-0.01726671734273144,-,+,-,-,+,+,rHlFbT,rHlfBT
i,-,+,-,+,-,+,ɨ,0.21839080459770116,0.26452905811623245,-0.04613825351853129,-,+,-,-,-,+,rHlFbT,rHlfbT
i,-,+,-,+,-,+,ø,0.00919540229885057,0.03006012024048096,-0.02086471794163038,+,-,-,+,-,+,rHlFbT,RhlFbT
i,-,+,-,+,-,+,œ,0.00459770114942528,0.02004008016032064,-0.01544237901089535,+,-,-,+,-,-,rHlFbT,RhlFbt
i,-,+,-,+,-,+,ɒ,0.00689655172413793,0.02004008016032064,-0.01314352843618271,+,-,+,-,+,-,rHlFbT,RhLfBt
i,-,+,-,+,-,+,ɐ,0.01149425287356321,0.01402805611222444,-0.00253380323866123,+,-,+,-,-,-,rHlFbT,RhLfbt
i,-,+,-,+,-,+,ʌ,0.04137931034482758,0.05210420841683366,-0.01072489807200607,-,-,-,-,+,-,rHlFbT,rhlfBt
o,+,-,-,-,+,+,a,0.8589341692789969,0.953125,-0.0941908307210031,-,-,+,-,-,-,RhlfBT,rhLfbt
o,+,-,-,-,+,+,e,0.8275862068965517,0.9330357142857144,-0.1054495073891626,-,-,-,+,-,+,RhlfBT,rhlFbT
o,+,-,-,-,+,+,i,0.9090909090909092,0.9933035714285714,-0.08421266233766234,-,+,-,+,-,+,RhlfBT,rHlFbT
o,+,-,-,-,+,+,u,0.8150470219435737,0.921875,-0.1068279780564263,+,+,-,-,+,+,RhlfBT,RHlfBT
o,+,-,-,-,+,+,ə,0.1786833855799373,0.2544642857142857,-0.0757809001343484,-,-,-,-,-,-,RhlfBT,rhlfbt
o,+,-,-,-,+,+,y,0.02507836990595611,0.05133928571428571,-0.0262609158083296,+,+,-,+,-,+,RhlfBT,RHlFbT
o,+,-,-,-,+,+,ɑ,0.07523510971786834,0.06696428571428571,0.00827082400358263,-,-,+,-,+,-,RhlfBT,rhLfBt
o,+,-,-,-,+,+,ɤ,0.00626959247648902,0.02455357142857142,-0.0182839789520824,-,-,-,-,+,+,RhlfBT,rhlfBT
o,+,-,-,-,+,+,æ,0.09090909090909093,0.08482142857142858,0.00608766233766233,-,-,+,+,-,-,RhlfBT,rhLFbt
o,+,-,-,-,+,+,ɛ,0.3510971786833856,0.5290178571428571,-0.17792067845947152,-,-,-,+,-,-,RhlfBT,rhlFbt
o,+,-,-,-,+,+,ɪ,0.15047021943573669,0.16071428571428573,-0.01024406627854904,-,+,-,+,-,-,RhlfBT,rHlFbt
o,+,-,-,-,+,+,ʊ,0.13793103448275862,0.14508928571428573,-0.0071582512315271,+,+,-,-,+,-,RhlfBT,RHlfBt
o,+,-,-,-,+,+,ɔ,0.3166144200626959,0.49107142857142855,-0.17445700850873264,+,-,-,-,+,-,RhlfBT,RhlfBt
o,+,-,-,-,+,+,ɯ,0.04702194357366771,0.07142857142857142,-0.02440662785490371,-,+,-,-,+,+,RhlfBT,rHlfBT
o,+,-,-,-,+,+,ɨ,0.22884012539184953,0.24776785714285715,-0.01892773175100762,-,+,-,-,-,+,RhlfBT,rHlfbT
o,+,-,-,-,+,+,ø,0.01253918495297805,0.03348214285714285,-0.0209429579041648,+,-,-,+,-,+,RhlfBT,RhlFbT
